DRAINAGE POINT,Date,MonthlyOil (bbl),MonthlyGAS (scf),MonthlyWATER (bbl),CONDENSATE (M3),PROD_DAYS
WELL001L-RES1,11/30/1973,18800.81,2966460,25.16,,30
WELL001L-RES1,12/31/1973,11554.73,1765750,12.58,,31
WELL001L-RES1,1/31/1974,14385.23,2507365,18.87,,31
WELL001L-RES1,2/28/1974,19077.57,3884650,62.9,,28
WELL001L-RES1,3/31/1974,21511.8,4379060,0,,31
WELL001L-RES1,4/30/1974,21775.98,4414375,0,,30
WELL001L-RES1,5/31/1974,20970.86,4273115,842.86,,31
WELL001L-RES1,6/30/1974,19115.31,3884650,1541.05,,30
WELL001L-RES1,7/31/1974,16888.65,1518545,3056.94,,31
WELL001L-RES1,8/31/1974,15114.87,1412600,3811.74,,31
WELL001L-RES1,9/30/1974,13523.5,918190,4264.62,,30
WELL001L-RES1,10/31/1974,13334.8,1059450,4025.6,,31
WELL001L-RES1,11/30/1974,12491.94,1059450,4572.83,,30
WELL001L-RES1,12/31/1974,11938.42,1130080,4868.46,,31
WELL001L-RES1,1/31/1975,11334.58,1059450,4403,,31
WELL001L-RES1,2/28/1975,8862.61,882875,5761.64,,28
WELL001L-RES1,3/31/1975,9762.08,847560,5484.88,,31
WELL001L-RES1,4/30/1975,8963.25,776930,5497.46,,30
WELL001L-RES1,5/31/1975,8611.01,706300,5396.82,,31
WELL001L-RES1,6/30/1975,6925.29,565040,6491.28,,30
WELL001L-RES1,7/31/1975,6095.01,600355,6176.78,,31
WELL001L-RES1,8/31/1975,6201.94,635670,6956.74,,31
WELL001L-RES1,9/30/1975,8460.05,847560,9573.38,,30
WELL001L-RES1,10/31/1975,12284.37,1236025,10611.23,,31
WELL001L-RES1,11/30/1975,13133.52,1341970,9554.51,,30
WELL001L-RES1,12/31/1975,11831.49,1236025,9743.21,,31
WELL001L-RES1,1/31/1976,10498.01,1024135,10774.77,,31
WELL001L-RES1,2/29/1976,10296.73,1024135,8799.71,,29
WELL001L-RES1,3/31/1976,10057.71,1024135,10705.58,,31
