,Date,MonthlyOil (bbl),MonthlyGAS (scf),MonthlyWATER (bbl)
0,1973-11-30,152613.87,19988290.0,396.27
1,1973-12-31,125818.60999999999,15362025.0,1492.2800000000002
2,1974-01-31,124302.96,18116595.0,2632.4900000000002
3,1974-02-28,125497.96999999999,18257855.0,5378.16
4,1974-03-31,142682.13,20376755.0,4597.57
5,1974-04-30,136215.97,19281990.0,7117.76
6,1974-05-31,130705.91,18575690.0,8885.17
7,1974-06-30,118767.49000000002,16633365.0,12003.54
8,1974-07-31,106735.01,14090685.0,14831.82
9,1974-08-31,103067.93999999999,14655725.0,16850.91
10,1974-09-30,97469.84,12254305.0,16693.66
11,1974-10-31,97778.05000000002,11724580.0,16335.130000000001
12,1974-11-30,91594.98,11300800.0,18496.18
13,1974-12-31,89663.95,12324935.0,18995.8
14,1975-01-31,86223.31999999999,11053595.0,19046.120000000003
15,1975-02-28,73649.60999999999,9605680.0,17567.97
16,1975-03-31,83342.5,10523870.0,19958.17
17,1975-04-30,78474.0391,9958830.0,20870.219999999998
18,1975-05-31,79895.58000000002,9570365.0,19826.08
19,1975-06-30,71083.28982,8864065.0,20071.39
20,1975-07-31,63440.94,7628040.0,18844.839999999997
21,1975-08-31,63472.39,7698670.0,20499.11
22,1975-09-30,87185.68982000001,9570365.0,51879.919910000004
23,1975-10-31,92676.86,10665130.0,76241.09
24,1975-11-30,100250.02,11653950.0,72196.62
25,1975-12-31,101476.57,11194855.0,84235.68
26,1976-01-31,96614.4,10665130.0,86493.79
27,1976-02-29,89588.46991,9782255.0,77530.54
28,1976-03-31,88299.02,9817570.0,87770.65991
29,1976-04-30,59094.55,7557410.0,41941.72
30,1976-05-31,50835.78,6180125.0,29915.239910000004
31,1976-06-30,51276.07990999999,6568590.0,30198.29
32,1976-07-31,59534.85,7769300.0,31072.6
33,1976-08-31,57232.71,8616860.0,29858.629999999997
34,1976-09-30,62931.448919999995,8687490.0,28065.97991
35,1976-10-31,72699.82,9429105.0,33242.65
36,1976-11-30,61176.53999999999,8970010.0,38589.14991
37,1976-12-31,66504.1691,8970010.0,48420.42
38,1977-01-31,65850.01000000001,10912335.0,49609.23
39,1977-02-28,57308.18991,8051820.0,43602.27991
40,1977-03-31,59811.61,9217215.0,39740.21991
41,1977-04-30,71536.17,8899380.0,36003.96
42,1977-05-31,66139.34991,8299025.0,35167.38991
43,1977-06-30,60094.659999999996,8087135.0,35551.07991
44,1977-07-31,61289.759999999995,8087135.0,34683.060000000005
45,1977-08-31,54528.01,7628040.0,29009.48
46,1977-09-30,42054.94,6851110.0,30292.640000000003
47,1977-10-31,53766.92,8793435.0,28242.099910000004
48,1977-11-30,71737.45,10523870.0,26380.259999999995
49,1977-12-31,82474.4791,13949425.0,29575.57991
50,1978-01-31,93419.07999999999,10241350.0,42501.52991
51,1978-02-28,72133.71892,9923515.0,39299.91999999999
52,1978-03-31,86330.24982,12042415.0,37897.249999999985
53,1978-04-30,112546.96991000001,14408520.0,53603.38000000001
54,1978-05-31,117704.77,15750490.0,83701.02999999998
55,1978-06-30,135580.94999999998,16598050.0,76561.87999999999
56,1978-07-31,119931.42991,13172495.0,61264.6
57,1978-08-31,110339.17990999999,14867615.0,71303.43999999999
58,1978-09-30,107753.98991,11865840.0,52741.649999999994
59,1978-10-31,103288.09,12077730.0,67302.99909999999
60,1978-11-30,112899.21,11300800.0,67265.26
61,1978-12-31,80801.33991,11336115.0,43702.91991
